MOF, HC CH4, Error CH4, HC CO2, Error CO2, HC H2O, Error H2O, HC N2, Error N2, HC N2O, Error N2O, HC O2, Error O2
MOF,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,
ADATAC_clean, 6.87222e-06, 5.774e-08, 2.69336e-05, 4.42387e-07, 0.0010059, 0.0013366, 3.40188e-06, 3.48389e-08, 2.84046e-05, 4.67374e-07, 7.26469e-06, 7.52047e-08
ADATEG_manual, 5.64051e-06, 3.62828e-08, 1.04079e-05, 2.52036e-08, 5.78857e-06, 2.98646e-07, 3.5046e-06, 1.05074e-08, 1.07269e-05, 2.57599e-08, 5.85889e-06, 3.31535e-08
ADATIK_clean, 5.60808e-06, 7.19962e-08, 1.66059e-05, 1.05146e-07, 3.64455e-05, 4.43995e-06, 2.82268e-06, 2.62969e-08, 1.73949e-05, 9.19979e-08, 5.69281e-06, 7.8025e-08
ADATOQ_clean, 1.09209e-05, 1.70274e-07, 3.231e-05, 2.40694e-07, 1.06825e-05, 6.49449e-08, 3.23592e-06, 1.85022e-08, 3.45329e-05, 1.5613e-07, 1.17759e-05, 1.30948e-07
ADATUW_clean, 9.78086e-06, 1.31837e-07, 3.23068e-05, 1.35831e-07, 1.27926e-05, 1.6084e-07, 3.06399e-06, 1.59006e-08, 3.42683e-05, 1.47237e-07, 1.12579e-05, 6.61229e-08
ADAVAE_clean, 1.19029e-05, 2.92883e-07, 3.8664e-05, 2.64433e-07, 1.3003e-05, 1.05306e-07, 3.36666e-06, 2.61666e-08, 4.16075e-05, 2.17081e-07, 1.31016e-05, 2.7163e-07
ADAVEI_clean, 1.17001e-05, 1.75764e-07, 4.06824e-05, 1.18195e-07, 1.3862e-05, 2.34258e-07, 3.39167e-06, 4.72557e-08, 4.33512e-05, 2.22229e-07, 1.35307e-05, 1.1486e-07
ADAVIM_clean, 1.01873e-05, 2.24628e-07, 4.85529e-05, 2.33797e-07, 5.24962e-05, 2.7748e-06, 3.26343e-06, 1.34397e-08, 5.20708e-05, 7.31227e-07, 1.08439e-05, 6.25439e-08
ADAXEK_clean, 2.11605e-06, 2.04131e-08, 0.000195589, 9.63576e-07, 0.000199361, 4.16689e-05, 1.37489e-06, 1.65213e-08, 6.48773e-05, 7.58601e-07, 2.67785e-06, 1.92897e-08
ADAXIO_clean, 1.68138e-05, 1.06087e-07, 0.000385734, 2.18233e-06, 0.000102862, 2.0039e-06, 1.41113e-05, 1.04809e-06, 0.00144522, 5.46899e-05, 1.58168e-05, 2.2346e-07
ADEGIA01_clean, 1.4889e-06, 2.17901e-08, 25.7599, 49.8147, 8.58363e+15, 7.10764e+15, 0.00266755, 0.00115137, 2625.45, 2755.37, 4.47951e-06, 8.18225e-08
ADEGIA_clean, 1.61952e-06, 3.0622e-08, 35.1897, 10.6185, 2.78871e+16, 5.51567e+16, 0.00179634, 0.000714554, 6150.33, 5172.81, 4.94536e-06, 1.37605e-07
ADIQEL_clean, 2.46782e-05, 5.87593e-07, 0.00163416, 9.20181e-06, 5.3828e-05, 2.38604e-06, 5.79056e-06, 2.425e-08, 0.000361595, 1.93033e-06, 3.70012e-05, 1.71354e-07
ADOCEC_clean, 8.6317e-06, 1.1211e-07, 0.000563656, 9.28522e-06, 0.0164148, 0.00559764, 2.58252e-06, 1.4519e-08, 0.000513719, 6.02073e-06, 1.05616e-05, 1.32916e-07
ADODAA_charged, 3.85192e-06, 2.69605e-08, 5.0925e-05, 1.21221e-06, 0.0102319, 0.00476297, 1.60259e-06, 1.35375e-08, 4.95878e-05, 2.14592e-06, 3.90228e-06, 1.95806e-08
ADODII_clean, 6.26992e-06, 2.69516e-08, 0.00015583, 7.00619e-07, 3.06869e-05, 1.32148e-06, 2.69806e-06, 4.97955e-08, 8.27869e-05, 6.47599e-07, 6.42137e-06, 6.19345e-08
ADUROI_clean, 4.34075e-06, 1.35013e-08, 1.37591e-05, 1.13948e-07, 0.0015301, 0.000409381, 2.3698e-06, 3.55396e-09, 1.41866e-05, 1.38279e-07, 4.30152e-06, 3.9874e-08
ADUWIH_clean, 1.02566e-05, 6.14427e-08, 3.73967e-05, 1.67703e-07, 9.90798e-05, 4.31532e-05, 3.43875e-06, 1.79431e-08, 3.97065e-05, 1.91099e-07, 1.00394e-05, 4.27882e-08
ADUWON_clean, 1.20463e-05, 6.0714e-08, 4.52698e-05, 2.84636e-07, 0.084662, 0.0953351, 4.52098e-06, 1.79745e-08, 4.84353e-05, 1.72583e-07, 1.10961e-05, 6.91674e-08
AFEJOK_ion_b, 8.03829e-06, 4.76244e-08, 7.73343e-05, 3.17129e-07, 1.88894e-05, 3.165e-07, 2.59909e-06, 1.1723e-08, 4.79837e-05, 1.34372e-07, 7.85888e-06, 4.33537e-08
AFENEE_clean, 2.20319e-05, 7.92943e-07, 0.000287163, 2.72679e-06, 5.24998e-06, 2.80421e-08, 3.20844e-06, 6.02954e-08, 0.000164448, 1.65731e-06, 2.65873e-05, 4.23435e-07
AFIPAH_clean, 8.52495e-07, 1.88893e-08, 3.06723, 0.578842, 2.11234e+10, 8.25514e+09, 0.132569, 0.0462561, 26003.7, 8400.08, 5.25265e-06, 3.68857e-07
AFITEP_clean, 6.07836e-06, 1.32284e-07, 0.000735116, 4.68583e-06, 0.00138081, 0.000351458, 6.12558e-06, 2.59016e-07, 0.000881743, 4.89927e-05, 9.62621e-06, 1.25261e-07
AFITUF_clean, 9.80861e-06, 1.75019e-07, 5.04049e-05, 3.29417e-07, 9.44642e-06, 4.3993e-07, 2.29892e-06, 2.62741e-08, 4.82745e-05, 3.57035e-07, 9.94421e-06, 8.07214e-08
AFIXAO_clean, 7.50881e-06, 7.4709e-08, 5.01977e-05, 1.67403e-07, 4.03688e-06, 8.98275e-08, 1.81123e-06, 1.05775e-08, 3.0286e-05, 3.44756e-07, 6.93381e-06, 4.51748e-08
AFIXES_clean, 7.53028e-06, 1.29867e-07, 5.32605e-05, 2.85408e-07, 4.92126e-06, 1.06156e-07, 1.84532e-06, 1.3898e-08, 3.24891e-05, 3.54799e-07, 7.12701e-06, 6.69587e-08
AFOQUI_clean, 1.8701e-06, 6.37709e-08, 0.000284959, 8.65489e-06, 2.34727, 0.904048, 6.26732e-06, 7.25093e-07, 0.00154434, 0.000137384, 4.96002e-06, 2.36518e-08
AFOTUL_clean, 6.50739e-06, 2.15104e-07, 0.000732773, 0.000315281, 468.576, 526.23, 2.17039e-05, 8.3021e-06, 0.024545, 0.00747152, 9.43622e-06, 2.14141e-07
AFOVAT_clean, 6.71153e-06, 1.24004e-07, 0.000662196, 0.000144831, 881.582, 1081.74, 1.62761e-05, 7.69059e-06, 0.00690517, 0.00192433, 1.0507e-05, 1.83332e-07
AFOVEX_clean, 6.71708e-06, 8.50601e-08, 0.000971008, 0.00047384, 1083.05, 1467.53, 1.77485e-05, 6.0259e-06, 0.0274175, 0.0239731, 9.81005e-06, 2.32774e-07
AFOVIB_clean, 6.51071e-06, 1.58002e-07, 0.000428118, 5.5461e-05, 23.568, 19.2671, 1.19599e-05, 1.7928e-06, 0.0128425, 0.00643686, 9.46396e-06, 1.56607e-07
AFOVOH_clean, 6.67043e-06, 7.68616e-08, 0.00128369, 0.000788569, 1468.01, 3006.62, 2.28177e-05, 8.41707e-06, 0.0344976, 0.0127197, 9.97009e-06, 8.83297e-08
AFOYAW_clean, 1.19254e-05, 7.18704e-08, 0.000117331, 8.12432e-07, 0.140007, 0.0435524, 3.20264e-06, 4.7101e-08, 7.79691e-05, 1.18413e-06, 1.27529e-05, 4.82735e-08
AFOYEB_clean, 1.10641e-06, 5.84842e-09, 2.00191e-05, 1.03222e-07, 2.25665e-05, 5.78612e-06, 4.47715e-07, 4.15454e-09, 8.6723e-06, 6.18942e-08, 9.19055e-07, 1.07078e-08
AFOYIE_clean, 2.95332e-06, 1.50108e-08, 2.25593e-05, 8.01151e-08, 2.95625e-06, 6.34311e-09, 1.45284e-06, 7.61605e-09, 1.14328e-05, 5.26162e-08, 3.57445e-06, 2.32569e-08
AFOYOK_clean, 2.30528e-06, 9.403e-09, 2.32222e-05, 3.31472e-08, 1.18078e-05, 4.20126e-07, 1.1307e-06, 6.30178e-09, 7.62157e-06, 9.29783e-09, 2.84718e-06, 1.95375e-08
AFUKET_clean, 3.24695e-05, 7.91693e-07, 0.000819843, 1.68455e-05, 2.54384, 3.84269, 5.91309e-06, 1.12113e-07, 0.000553218, 1.36585e-05, 2.73762e-05, 1.11431e-07
AFUKIX_clean, 1.20371e-05, 6.18603e-08, 7.38893e-05, 2.01241e-06, 0.0232375, 0.0154966, 3.58469e-06, 1.67263e-08, 7.448e-05, 1.41496e-06, 1.19079e-05, 1.36347e-07
AFUPEX_clean, 5.3016e-06, 3.27716e-08, 0.00922805, 0.00263209, 579056, 639387, 5.9756e-06, 3.13667e-07, 0.0313421, 0.027086, 6.14488e-06, 6.96055e-08
AGABIU_clean, 2.18318e-06, 1.61188e-08, 3.16872e-05, 8.9158e-07, 0.00161741, 0.00028337, 1.31348e-06, 6.03361e-09, 2.88638e-05, 8.42172e-07, 2.29537e-06, 1.35082e-08
AGARUW_clean, 2.20036e-06, 4.06641e-09, 0.0157108, 0.00813581, 3878.88, 3637.4, 1.04049e-06, 2.27914e-08, 0.00447603, 0.00104667, 2.1511e-06, 1.70616e-08
AGESIP_clean, 9.05078e-09, 1.96126e-10, 0.000977856, 1.63062e-05, 5.37074e-05, 1.89139e-06, 7.28719e-07, 4.76418e-08, 0.11776, 0.00674456, 3.60057e-07, 4.83219e-09
AGIMOU_clean, 3.56432e-06, 1.63252e-07, 0.000149051, 2.51869e-06, 0.000266182, 2.01583e-05, 1.24888e-06, 4.14637e-08, 3.68311e-05, 3.98096e-07, 7.21115e-06, 1.07817e-07
AGIREP_clean, 9.3475e-06, 5.11174e-08, 6.28257e-05, 9.05301e-06, 0.00133937, 0.000416732, 3.04624e-06, 1.86411e-08, 6.41072e-05, 4.06607e-06, 8.10065e-06, 4.29629e-08
AGOFEJ_clean, 9.68585e-06, 2.37793e-07, 3.66854e-05, 1.32362e-07, 0.000198806, 7.87803e-05, 3.12309e-06, 1.49181e-08, 3.94095e-05, 8.87815e-08, 8.79777e-06, 5.62639e-08
AGONAM_clean, 3.29016e-06, 3.85385e-08, 6.32146e-05, 6.76887e-07, 2.31071e-05, 2.93614e-06, 1.8295e-06, 2.43072e-08, 4.36904e-05, 4.5453e-07, 3.32178e-06, 2.27799e-08
AGONEQ_clean, 5.31373e-06, 2.64351e-08, 3.93715e-05, 1.42946e-07, 3.20432e-05, 1.47229e-06, 2.09903e-06, 8.77422e-09, 2.90432e-05, 8.87283e-08, 4.6762e-06, 2.41671e-08
AGOVOJ_clean, 4.84725e-06, 3.2627e-08, 2.15142e-05, 4.42511e-07, 0.00721572, 0.00271591, 2.3069e-06, 1.44193e-08, 2.23703e-05, 2.4666e-07, 5.29879e-06, 2.7291e-08
AGUTUS_clean, 4.05053e-08, 2.91252e-09, 1.31854e-06, 1.17546e-08, 3.38319e-05, 2.18428e-06, 3.79143e-08, 1.78327e-09, 3.62303e-07, 6.71825e-09, 7.93484e-07, 1.62405e-08
AGUVOO_charged, 1.17273e-05, 3.66174e-08, 5.8489e-05, 3.56479e-07, 0.164993, 0.0594978, 2.69804e-06, 2.08899e-08, 6.25843e-05, 8.47952e-07, 9.68815e-06, 4.59468e-08
