AQOMEA01_clean 1 1 1
AQOMEA_clean 1 1 1
AQOSEG_clean 1 1 3
AQUCOF_clean 3 3 2
AQUCOG_clean 2 2 4
AQUCUM_clean 2 2 4
AQUDAS_clean 3 3 2
AQUDAT_clean 2 3 4
AQUDEX_clean 1 3 4
AQUDIB_clean 2 2 4
AQUDOH_clean 1 3 4
ARADEE_clean 2 2 2
ARAFEF_clean 2 4 2
ARAFIJ_clean 2 4 3
ARAFOP_clean 2 4 3
ARAGOR_clean 2 3 2
ARAHIM01_clean 3 3 2
ARAHIM02_clean 3 3 2
ARAHIM_clean 3 3 2
ARINOF_clean 3 4 2
ARINUL_clean 2 2 4
AROFAP_clean 2 2 2
AROFET_clean 3 2 2
ARUCOH01_clean 3 2 2
ARUCUN_clean 3 3 2
ARUDAU_clean 3 3 2
ARUJED_clean 2 3 1
ARUYES_clean 4 2 2
ARUYOB_clean 3 1 4
ARUYUH01_clean 3 2 3
ARUYUH_clean 3 2 3
ASACON_clean 3 2 2
ASADAA_clean 3 2 2
ASAMUE_clean 2 2 2
ASECUY_clean 3 2 1
ASEJOZ01_clean 3 2 2
ASEJOZ_clean 2 2 3
ASINAT_clean 2 2 2
ASINEX_clean 1 1 1
ASINIB_clean 1 1 1
ASIQEA_clean 2 2 2
ASIQIE_clean 2 2 2
ASIRUR_clean 3 4 2
ASIVAB_clean 1 1 2
ASOHUL_clean 2 4 3
ASOSUY_clean 2 2 2
ASOVEL_clean 3 3 1
ASOYOY_clean 2 2 1
ASUJIJ_clean 2 2 3
ASUKEE01_clean 2 2 1
ASUKEE_clean 2 2 1
ASUWUI_clean 2 2 2
ATAFIK_clean 3 2 2
ATAYAX_clean 2 2 2
ATAYEB_clean 2 2 2
ATEXII_clean 3 3 2
ATEYED_clean 2 3 2
ATEYOP_clean 2 1 1
ATEYUV_clean 2 1 1
ATEZAC_clean 1 1 2
ATIBAG_clean 3 3 2
ATIBIO_clean 3 3 2
ATIBOU01_clean 3 3 2
ATIBOU02_clean 3 3 2
ATIBOU_clean 3 3 2
ATIBUA_clean 3 3 2
ATICAH_clean 3 3 2
ATICEL_clean 3 3 2
ATIJUJ_manual 5 2 2
ATIXUX_clean 4 1 2
ATOGEV_clean 3 2 2
ATOWIQ_clean 3 3 3
ATOWOW_clean 3 3 3
ATULIM_clean 2 2 5
ATUYAR_clean 3 3 2
AVAGIP_clean 1 1 4
AVAGOV_clean 1 1 4
AVAGUB_clean 2 2 4
AVAJUE_clean 1 1 1
AVAKAL_clean 1 1 1
AVAKEP_clean 1 1 1
AVAQIX01_clean 3 2 2
AVAQIX_clean 3 2 2
AVEHAM_clean 3 3 2
AVELOD_clean 2 2 2
AVELUJ_clean 2 2 2
AVEMAQ_clean 2 2 2
AVEQID_clean 3 2 2
AVESAW_clean 3 2 2
AVESOL_clean 2 3 2
AVESUR_clean 1 3 2
AVEVEE_clean 3 3 3
AVIHIY_clean 3 3 2
AVIHOE_clean 3 3 2
AVIMIC_clean 2 2 4
AVIMOI_clean 3 2 1
AVIMUO_clean 3 2 1
AVIPAX_clean 3 3 1
AVIPOL_clean 2 2 2
AVITUU_clean 2 2 1
AVIVAC_clean 2 2 1
AVIVEG_clean 2 2 1
AVIVIK_clean 2 2 1
AVIVOQ_clean 2 2 1
AVIVUW_clean 2 2 1
AVOSIO_charged 2 2 2
AVUCEA_clean 1 1 2
AVUDAX_clean 2 2 2
AWAGEL_clean 3 2 1
AWAGOV_clean 2 2 2
AWAHAI_clean 2 2 2
AWAHEM_clean 3 2 2
AWAJIT_clean 3 1 2
AWAKEQ_clean 3 2 1
AWASAU_clean 2 4 1
AWASEY_clean 1 1 2
AWASOI_clean 2 2 1
AWAWUR_clean 2 2 2
AWEBIO_charged 3 2 1
AWEDOW_charged 3 1 1
AWEDUC_charged 4 2 1
AWEJIW_clean 4 2 2
AWEVIJ_clean 1 2 1
AWEZOS01_clean 2 1 2
AWEZOS_clean 2 1 2
AWIBAK_clean 2 1 2
AWIBEO_clean 2 1 2
AWIBIS_clean 2 1 2
AWOFOI_clean 3 3 2
AWUPAL_clean 2 2 1
AXAFAG_clean 2 2 2
AXAQAT_clean 5 3 4
AXAWUT_clean 3 3 2
AXIMUP_clean 3 2 1
AXINAX01_clean 1 1 1
AXINEA_clean 2 2 1
AXINIF_clean 2 2 2
AXIPEE01_clean 2 2 1
AXIPEE02_clean 1 2 1
AXIPEE03_clean 2 2 1
AXIPEE_clean 2 2 1
AXOHIE_clean 3 2 1
AXUBAW_manual 2 2 2
AXUBOL_clean 2 2 2
AXUDII04_clean 3 3 3
AXUHAD_clean 2 2 2
AXUHEH_clean 3 2 1
AXUHIL_clean 2 2 2
AXUPEO_clean 3 3 3
AYAWEE_clean 3 3 3
AYOQEM_clean 2 2 2
AYOXUJ_clean 1 2 3
AYOYEU_clean 3 3 2
AYOYOE_clean 3 3 2
AYUPOZ_clean 3 3 3
